address,amount
juno10r72d93uwd4ugeyatdrrvufeq80vrex6n2yex2,10091574
juno10ramtpjevxutxfmw7mq8chpsx6puelcsrh4ale,6188593
juno10rcsanmer94u4x3wztw4pdhhnvwk75gs3wt88h,7196990
juno10rg89xa7lt0fffekurga4tmj6j3rzafxpdgckt,8439315
juno10rnscc2t820netc7mgysvrvp0l5hwf2vwwsr5a,6088304
juno10rtrst36pjlykugxg54ysqacrqt5998zlqvu2d,4756065
juno10ruj44hlyjkn75uz9fpkdeyh4l3zs83xwt2qcn,7420743
juno10rxcekgu574ahvpjgzk4llmlapy0dcpwvht3qd,4837389
juno10s3h44uygq2utppn7gyn84l5pcu87nexmh79l8,17001897
juno10s44pg475cxrpkep3wellty5hg8tp42fyvdzgu,9510426
juno10s7r2vukwfd0kwmzqcugen345s6pe69f7n0cjl,4778963
juno10sa4l0v98ty6n595cynyu76k9tmd0cnvhd9uht,4845469
juno10shzpnweqdpcnsn3q80lhvyuz5w3sm8rd50k9v,12351196
juno10svja2jze3uesz86fl99flgn7dpjdmf442ejv3,8930865
juno10sxuda9y5m9knspu77ymp80y27t7gsugneuf75,4754982
juno10sy9drt0znfc4xcck770ptx88zqnc4rqx7m8yv,18158792
juno10t3yy7fjeukuxxqdwahd2pp6sc0q2ptq4p6juy,6140132
juno10t5uaftj94gptd5g0lzwag43njy4dljeyvrphy,6117939
juno10t7jd3kkquqrymjfwyh8ugmh6ntwhwkhxhk9wd,4952164
juno10tgvtm7dtekey9qnargpw95298jksfyr56fp3t,4854970
juno10tgyn995kx2w0l3ladraqmwqkdgcgmqa459xdm,7642785
juno10tllmu2amyspm29t0hhs0as9h9vq5tshlw336d,11414734
juno10tuquqawvgts3ljvhhu0nfn3kss9jwvhvq08xl,4760806
juno10ty0fap7l0lk3rfnpudhekhdvtefhnug08mzf2,5890570
juno10tyhpjdgmpu0jc6wl6gedvpvcr0cszpf6737dk,4769368
juno10u7hlztw39crrr0rtw062l0a2wk0ahfeshhjk6,4937550
juno10u7k3dupmp5f3x3pfkkjnc6hjxnty2p2y423sc,5357584
juno10uffxrweh90xqp6s2uuv7a6zw4xkxkww873p40,4797964
juno10ufvja58kdfyy9pljwamnfcpprl30y3hyyzv6a,5615614
juno10usfwnc4lxuprex8p2vyd47ypzn2ajjecz0qaw,4986191
juno10utsdf9e6a09nqjq0xkast7ad92pswc8qyuwjj,9500920
juno10uxwpnmn3ky4la2mlwgc3d9mlnpn5ad7rms3dj,4965222
juno10v4nvsvp3n8kaf6uga66znrf9upwsj0nhs740j,4822667
juno10v8xfh3qlfs0we5u243lwdsvpaksp26m7zhln8,11257997
juno10v9na3pmcqhjee83lgzjr08j5t7zuvfvax76wy,6650644
juno10vddmjvdy0ylhqmlumf4dkvmmwzhfz9dp0z400,4845469
juno10vdxehpyfjmfh3um6mpngq8s5pdcvhvpshvqvk,19570624
juno10vf3k49jqcs0ylpfywyrs0wzfdwthvu0g3kff4,4760211
juno10vha99kzhgd84kf07lneltwhacntrs6kq7qjy3,4996534
juno10vjaxu90fwruzwex3xg4vdwhxsqzel2q4e4ts7,4919944
juno10vjwl2jwjw3u8c94dfh7d8hfyrymxdpkzuhfgz,4940440
juno10vkjgavvmj3nzpqg0n4u8zfe9jclt4s2vqa56j,4962142
juno10vpd78jkppvxn559kef559lknsq27aryvtpgzz,4752362
juno10vq8t0h39mz7v5q580tn76lvhw6cge9eynn7rp,4845913
juno10vsv3x4galz6yhdfpgqxz5h258j63l4cl2r7xm,4888223
juno10vvtht8ycyup5sj2tz3m80dnet8hge6lxrdmp8,5280267
juno10vxp937dqgdr20nwfamaw2fghajuthscemvskq,7402244
juno10vyyltmq498a077ympkarhkdel9w8n0m8u9kgg,5716655
juno10vzpxdvvquztsy0zfvuwwuxwuu8pdguem8axz8,7941863
juno10w88srpanvuhmj42du93er4h579lfdagp8kmps,5013754
juno10wsx6cuh8wzxt353sv5lwakwt99w7pscx4y0kh,4753631
juno10wvn29eznwjtca7gy309dv7rla6qduvyjpuu34,4941515
juno10wxd870gssnnftwfuyh3nhkxfef968duxjjvwv,4778963
juno10wzx4wtkln7rtfgre7frlfzztnn9qkgya6p80w,4921250
juno10x3c9lxp2h8u5wdtgxnk7s9eqkky99ctcr75vc,4906039
juno10x9es7y8crcx2wym0jnulka4ltqysrzw6ll2cq,4769462
juno10xdp3mr5l40g8hq9uqte8ea99fuuuh39xuvzzg,7315708
juno10xefzfkufa86jkjswvfn20czyq6qhr0k7pqx5r,7540288
juno10xk5j2dmu3rs5lpq9fnd3vhxksek4zlquwc7r7,4750511
juno10xqscqp8a0yefrdl98mh2u2q3lzyrl0vp9q4ny,6016683
juno10xrz0229ejuffl9666hwgcdhju9dsjrldrshnl,5902144
juno10xutfssxfj6ry9yf46lg6dgdm5fsswll40gnzk,4915971
juno10xx9q86glwn8kl6kd7d257nh6rgxecspvlhx0v,19001841
juno10y30e37h05y5glnzq8ev9psh8tvmg4nn7kwp2e,7467723
juno10yg0tdndmpupj2jqqycrquzxead5ccawmc733u,13066927
juno10z3yjq4r0rc5pmzqdpttr9rgzc9jdhktra8uun,5142750
juno10z8mns7qhfsyx2uuv236gcc9lusx2jatg99w3c,7021180
juno10zdevtduxcc4tt2rfu79eelnzhusvw3v6ju3tm,9500920
juno10zh8pjaw2vr5lyd5fdr8mg7a9z7tyq00gm8uua,5973732
juno10zjw4h3pfddkyz4tm0xtcrnzju2wunezzfyfgf,14268452
juno10zl4d0z9zhavk0s4xzh0humkfk7zhle7zf2w6e,5600520
juno10zmstyqhfz29gyvsurat5gyh5s5gfqc490xxa3,5803221
juno10zseswd0le2aasvd8n0w6m86p69klh2h5x9l0y,4761786
juno10zw3pyaw7wu5ags8ejn2wqrju7jyl9k3x049ja,6547672
juno1204g59lju5lysugsc9d5d686jnnrhavdwepxtw,11990161
juno1204x95jeljjtetuf4nfxepp7r98ya2st9eflaq,6924006
juno12080wqxsu6xy5wqnj0v0tj0hh3cp0pqfzleczj,10134180
juno120c29u5hcj7xcmahexyccnzjplnh9x887kuwhc,4759961
juno120qdcpq3v5a4cnmh9sqt3ucfe3ypygyjnl5dm4,6064543
juno120qs4hqvr4jhrke3fymytcxyem8cchxrfzdz7w,9500920
juno120s57zh8g3cr5qa078hcsxfalvrd9v7hl6u6ey,10249253
juno120w7wm0xm72afyhg2mewjnz87rwhek9zq4k2t7,4845469
juno120ynu7jqzennwqmhzuxzqhsencnpwa53mz0zuh,4938258
juno12254ye0ehn80vanfjcw3gfphlf794asa6lma2j,7519503
juno12258wr8xm0nrngcz84fa4lt8htj23rlk8k3fg0,4940478
juno1226tqr8mcq9syrm45mh8rlqzqn29zwe59h0q9e,7237795
juno122e0tnv79ng6jaw7a3yfuyrr2swapxjwrv7q0u,4775049
juno122pp5audm4utyap947ukrmrvvazy20vn5926xy,5531218
juno122rh53a89mlaevyshsjv27jxjnedew0ymfyjra,4802371
juno122sjy5nzdluxhcwts8hnycz7le472vw4mlwl06,5961887
juno122vs79vdvukvsqdwjgz49vrej66jyaj35u5mv7,4880064
juno1230mxz4tcynq3np7frwsfvzs7hcsczhccn7g9e,5181606
juno1230sk2372e84tw4v0z0qt2ptur3grreql7s0k0,5559145
juno12373ees8vygrgktgwjqm9f4xsxjy2c433ar496,6693070
juno123dt3hat23832h6pkr04pm6jjvhv2hxfjwrgar,4954730
juno123enkvc043kz5m4xf7feauv57gqmnqxf5y3ftj,5976079
juno123fpwvrw5cjqjv7a72jsxj09e72epz72ln6yma,19782466
juno123g3hd6duqchxkn4xhsqh96mf8hq3xzlzpna70,12616492
juno123j93w0vtq9ufjwztytd8csn04lq2yectdlvfs,6186999
juno123kvp3veh8aahvxrhe34m6rc888kj3p46qjqq3,13692710
juno123lptx825enll3s3fvp9vkc0gsue5esqgc6vtc,5700552
juno123r5jtym55mu24seqvj2235pg2mk2pguuya2u9,10778506
juno123vsh2jwl93026yuwgt4tdt9gcjsxucdys2r8l,4799386
juno1243yhe2plcqqkhwkl8dwv53nzvxrdye2zhwzax,9690942
juno1246ljqqzaql677w86nq2k30g53epenhpym4r7l,6011086
juno1248r7u2sygjlf5v26ng5g4qavaqwhfglp7gdjc,6148293
juno124esrkjggn9tj7r98s85px3d6u3yq3dt4k7d6q,8074832
juno124ftxf500hx0l624k6zq9uacvd5xdsduhyxt4t,5718182
juno124huw5nn6sl03rplxru3cwexa28fyx0y82l483,5221193
juno124s6kayjppkdcweu9kly5azmu47fse64y3xhtt,8976520
juno124t7yuz42u6k4yzve4zhu2ak20upff2uq3c6n4,4869221
juno124th63vuuya00swtddgr3g4aafke2s4dswe0a5,9995495
juno124tztqwj5lkf434pq9jjcxykda2mn964e75uqp,11876055
juno124z8cksyru6xhwfvc54szyyyd3hkc8s67f7rza,7601377
juno12550zmr4xy7ar5uhlagmac9gse5dddmqm8mxer,9500920
juno1257h5yqg8q8xsxkgmppe96lxwjla9jxkltuhjk,8260100
juno1258j8twaafrz4ce2herq9fvejpt2gc3sd7z7dd,9699489
juno1259xsez4jdpndfn4qtxat3ju5s2mhlnxrk6nsf,11029243
juno125etrnpnsv8xmtnem4xg8g6zz89lxsxzzepjxj,4766543
juno125feeamu90mlkk84fx8hn9qh7hhqu0lnslf7fh,11401104
juno125g799d3vmwv4mm45069yfhnnvrrhh0kk8pld5,4905379
juno125j0q8ch4w42gta4zr4uxnyx4yat0ev9mkt6tc,5428584
juno125nkhdvfwrt9qfleypcggkdwq2fmfgz5d6pkgj,9500920
juno125plr4d433d3t6k0umftu9zr5kujc0ej9l8s2d,5192192
juno125s8mg37cj8ht5u0k2dmhyruzh0ae6xg2amfej,6521580
juno125tl3umwps4ulsnkuwffqnw8mgadnljlsav5jj,5679847
juno1267a6zx2lccrjq94k3apfjng99x698xpvjq9wv,5235007
juno126e6k82fwwywf9mps9zjqky8hevfyjy5tj68uk,9595965
juno126f39e04mc5vzetzcydwr8czvhtk5kepce3yr4,5339421
juno126t298wdq5k80zx744p4q4p8drqghat6cy7jkn,10678047
juno126t6ek3zc505swymd3clw2y677fw9cxa664x3h,7631092
juno126vrwh2fmmd0lje32dp36pureq0xyytyn83l5x,6650644
juno126ygdxx4uk25pvmhnzjq20clla6heymwhvwd96,4807528
juno1273772k35v4ye7pp3zdzlfwgph68fl69y7mlan,9503250
juno1278ram8vc3wajquqsjvvl8pkk0jcdtmpxxaqsl,5225506
juno127hzds6lyu6z2w7957m7n4xzx9kyq0wn7sk8dg,9523375
juno127ng5j0kwknxgvysac920v86rkn3kqdepm3up2,15011454
juno127phrn949370sdlg26vv5hqtjprr87ytgqa055,12933246
juno127t8nc4mgufkdk8m22l3uw2xcse2q7cls65ehm,8349389
juno12822lqgt98cj3rmdj9ygsdjj542wjvsjh7rzmy,12609903
juno1283urmaqp4f64n3yr9hhlqh8gd6shjn4ecjds2,10275245
juno12885qmujg9ldn2ju5krg9thu9e0f305stf09zt,5126281
juno1289x8v9txvzxpmqwexn07u4jddvvlwv33zs90t,4818253
juno128c9zkcmj9886n722qrtdugmgqhsgpny0axen9,14258978
juno128pd5kuuhmg5twfaj0s700tqdj52y4q6entudw,5074000
juno1290ly3udu9rwyh35fpq9nlmm76790c8czez0en,4845469
juno129976lfv49et2rakf5kvmjfk4355c8m0a07td8,10794325
juno129cfhg2km65u789gry6twc56n9vt35nkaahxca,5358234
juno129llvfevp6l65sscz90uhv6g2m4fpljv4xmkug,9476625
juno129rw3gnlk6x9annfw93jk86p55tn7wle86q5xf,9500920
juno129s2zc5r845srym3jlmgddk7sjhw2y520hvczf,10196280
juno129tef4rdthpgx9qj68pttcwtxxfh73qcly0fxm,7838164
juno129uysad29k4kwlyncux5an989k86xxdeh7h3uh,12215531
juno12a726xxlf2jgy9ggsrevmyqqm2k6wm77654tzw,4761671
juno12acxelra3ur7x4awh7y2gx3semvsk0dk3rfq35,5045603
juno12aj3x6ecfus0n9antc0mx3prqahpc86uujn4u2,9615898
juno12anm9qf8d0vrkeee862xk4dqdeg7eetamjg3kq,4940478
juno12aphhxhxwa083z89sjlg7wsdjwk7rv8zgramwx,7600736
juno12aq7ka7wqske073hvt80mf7yht2rgglh028wzz,4951064
juno12asejspeglrmkgjs2f836atpkhejl808hyyvka,10113587
juno12c0j9ueph06c5lxufgn8yj00hwdz4g9avt0uqf,10316581
juno12c2f2rd0v27ceds29pz4whpumqpxnhk7yll095,11875751
juno12c9hd4fhgefqlstrmxz74mvdwhm49hfpajpyec,5096722
juno12cgcx69dy040lk7hx8eyx83unkkg69nyqedccc,10655279
juno12ctdy4q2nafyg8gdmhjwqvcr3fw53l8mu70al9,4888223
juno12d43ynxrk22y37fpyn7py69kyhw2ar6eqz53rv,9500920
juno12d8j7d7fpvsghrpmwzgjn7h0u4xv7nthk4cwjn,5767309
juno12d8lwdla8035sjm58zww55ngj3r046lrdhs2pa,15047000
juno12da8p9zf88nt9df9uwcwnn56mjvydvnrmes5rg,6414392
juno12dfw72nvpxc8suv7s5kjg40u609lpgh8hcj4nf,11211086
juno12dhdxqkmegdfjku0zxkj32yt765jpf0k3xagy0,9690938
juno12dlnhj90mngw9d6gjkdexaw0vgeusuk9xhwksv,4789030
juno12dvaldk5djphk47gk8due8nxvchda6425xn03l,4802524
juno12e38697sehw97sc3fujwefc3qmqq6v4ar5vse2,4927394
juno12e5p7xnmxqr582pz8js9sg60l43q9dpdzrrv30,8995737
juno12e9z6wf847sltz6j7h6dfq4m2hyxrpwxdwsh96,13123244
juno12edhat8859a0m5p86twpn5caax0f3jpcywzjzn,6009749
