Address,dragon_count,Balance
juno1cxj4hgdj80fchmym5rkpurczypw9t4fukc8n4c,7,3405
juno1z05qt7creacxpztyf5gzmxtu0ywsxhguvcy9yh,3,3366
juno1n8j9xve22sh5arf2kfdtdde46udztadapjn4fy,14,2584
juno1d5jjy3ulcjma2ej8ggzgv2tfn73yj6zyhs3d6s,3,2641
juno1k8zdqgnga5qv8uwsuufqhg3q0ucqprdvkxkgw0,1,2158
juno14gtmmssmljgwfuerwg5evvjn9v3u4u57max3zq,18,8271
juno10095shflctdqa94ax5q8lt3mfkcglt2yupp84k,8,5385
juno13flc9tcswn7zmleuezzsxxnzn02rkgrl23eq0f,2,2608
juno1zr9atd3e8j202x5gnvwr9ywmehgqxm55slllqg,2,3195
juno197ejetjcac4w7zht5khl86tczquraxzj4nlqa4,3,4459
juno1lrgpt05m04fa7y2cs8qdnr7qgn7yx3yl44cke6,8,3365
juno1cwllzxqacrulw4lj0lzrf234a3290h0gsu5kw8,7,5634
juno1vzjtrvnh7lycnrfaynpc685edqmsch30j5p4ua,2,3525
juno1ty6q0dlm0awe9pjzukt0e5c49xr0hx858feut8,1,2008
juno1xddhh37guhhtpn8cuz62d46cwplu7eduvvvhyz,3,2037
juno15en8sl2rhwzx3rjx0yu5nqfcag0h5kcrums8ms,2,3821
juno1l5gh3gxxqnmh2ekqq4kmg29p90x5swm5zfm0ld,9,3053
juno138g6r6rhwl3nsrd6nap7h7zw77eggw2c9qd9ed,4,1909
juno1mwrsc6t0ynsf43syv6j9y5ppc39we33r5m23ru,7,2960
juno1luq6xmsy7jme3d859c87462um72tvhrgmkfhy9,3,1726
juno1c8gc447wmjm5u9k98d8udg7ynw8vv7lqjnpvpn,8,2164
juno1p5x323sum4wq0y6x97met4zx46leynhk6vmq0g,10,9346
juno14wsn59e0tjhup25th4yyu4nfmaa42nqe90cat0,4,12893
juno1swty9y3wshvcja3rzax3cgpmtqyz3plza7670u,3,12770
juno1rf5z0q7mt5udf7k73h68dv4aql0qjq3meumuw6,2,7568
juno1cq977qvxmpt0vg92m3qp7g6ge4940fzwkjnlx6,4,4295
juno1t3y4na8qy2ujc87qt9g0jrq4r3e46upnncdycx,1,3427
juno1d9n6awz3rnw87dmzuv4a94cz83hx26gf23g7ne,4,3405
juno10w3f4yfke3a34z2qcgjlxhhpe4e9hf47kcevuw,1,3000
juno12u2rtawpek80c47kfhnrh6udcsj0ufwplyjq6f,14,9426
juno1t2zagem3tuu86cfwktm6eqmpz0t2g74kdwysmt,7,3172
juno1xt4zdqgjwrd406x6uteggype7xnqx7678y6mmm,3,2893
