Address,Balance
juno16s96n9k9zztdgjy8q4qcxp4hn7ww98qkss2mfe,164.25
juno16utfr93pjxxj0tl5789m5stx0p9tn5lqe7gq65,15.17767
juno16v4tng9axsjd62t8um7n60nuruur8c9asm36hc,8
juno16v56nhglyrz0h90hnj2e69fywepglzgl2jhkmq,1.01
juno16w748zjxrzy5fj2suwqzx8wtrj5dy35dvnvj8t,42.579126
juno16wmk9m3sqlmz0l453pmgyp603f6nn4y3sqvfnm,35.17767
juno16xgl2cmlxqr2927rj3n72gdjjn5zhm8kqu4rhc,19
juno16xjxyaaxjmypzeapxq3grt34djgq08hhw27wxl,142.66495
juno16xxry62huavcfpkts6phgmjngpv9adnfm5kwdq,39.873185
juno16yqf22q2uutfxd7m2gcwppfep4remyqth92sav,484.478248
juno16z8u9n7tkkw57wgff6c4xu40nn5x5c0ku07eke,10.673315
juno17070wwjhlurczgm9658k7p9a8ds08shj4yevmy,15
juno170rp30un66h564egy8hm0mk2adpdv2czpww45c,35
juno1729shjtp88jcx6f3a03d0sfxde6unyj5fwhny3,20
juno172x9u2a5j2hpjq06mm2luy8cy49rmthusl93y3,35.17767
juno175q6smvgnuec5e62rs4chnu5cs8d98q2xgf4rx,2.5
juno1760pqeew6y0t6yhlvjqfmx5860p39hfq64dqf4,10
juno1768fz9r2c4w86kvckxfhpvha054rkc7r9kdvvh,20
juno176svsuj5nz07q2hwv9galz2av9csmzf4atr8xj,22.070682
juno176t0duptd66dp7qd52azun2xx5p4kzvmm54jk8,30
juno176zzf3tce4y09ghcws6ra7zzrmy9wwuhnc0msm,30
juno1788jq652xgemn204pj8zuctyc5kyz2k6hsfpnq,2
juno178n8r8wmkjy2e3ark3c2dhp4jma0r6zw0a4wuk,10
juno1799ly8ey8z9lry5qa0zafzr8vuhhzfhp0ejmcu,2.732936
juno17alrpa6shme0469cz7g43k5jqdsw8px5wyqnat,17.588835
juno17czz0ftq5w52hzcgjmwzx82u0a4d5fgnvzzmln,0.094
juno17d30h3rsr7prsanp45um2scljryp5xuekh8w6q,20
juno17d98640zus4k5xq2sdpp2kprmvmrh4a9v5varc,39.478237
juno17e7f9rh93jj9vvq38nzjygaf9tnq5dy8te0h9a,71.369242
juno17euft6s53xxpgn7n63swtg9nsr7umlmc5234mw,10.3575
juno17fz8ngcq2s88hf930kpgxgqu80pvjpv5p6hd3w,7.220768
juno17g2qm0atankjxhjdwzks3s9e3p42dxy4e2h2zf,10
juno17gcuws90tm6rsmg93vlan4r3td88yepk9rltla,35.17767
juno17h38jt0wej5jfuz2slvyjftr25cxzv4tp3ycjd,52.260557
juno17hwtjscrf2hakkxss05ykellj663dvy8uqe3ze,0.87767
juno17j9rqfx0de7uzdv40z3eg5d9d6yf2se9s77k7v,100
juno17k9snzl5fw8pjy5wk7vfj02angx9ylw2e0u96d,20
juno17l4rsnfmjhp6ysjq8l0cuka92jydy7ntpg2ykr,0.109638
juno17mmw8gpzrss2rq2mkk36f5yam3qv4sz90hhr3v,10
juno17nhy9m02zzak59nlypzzk3zn8rwtrlhfx7mhcx,13240.33717
juno17nkqlefug0hqaczdk47a6xxj6cud6wq2aj2ysu,38.085685
juno17nun6cg7a5xtu9fz2p8scxr7u9jmrf5v6xq9ss,10
juno17phxzzqful67yd7ssmqyfn940ntl7ngur58he4,2070.713963
juno17qf82c3xhuf2gxwam7fp48x657fcyt9apvcz9h,30
juno17r7n4r2q4d8v8jp7jvsdz80v06ux2zvswt0fcj,3.39
juno17sf97quhvvhljc0eungq6t64h7djte58phkmcm,20
juno17tnmg3mvpm846qks6y4dlzd7tlh8946cgk278z,10
juno17txgrugvf4snxrxladf8v9ge8lw2n4hj7rz45v,7.77974
juno17u5wm77g7ff389x8x4zekawllf6ctnhadappv9,10
juno17vz8hvg96lddwawdfygvu89ua4v7qgd6lctwj2,2312.30243
juno17wtjzq8fuclh0jqlzrhzd0kpwuq0h2hjzdzqtn,120
juno17xfpkp90waa9e3743gye6e0kemxr720enp985m,87.434548
juno17yt3y27vge6ue09uam9ccpsxxz2ykl5r4dt087,15
juno17z2gsgfrmcqu3gwnwxy3r8pm6mwk9m29c28tmz,20
juno17ztazy7gk9r5z90unj2752kq6p69vsaz52yamr,50.699222
juno180et9a70q4k8w7qdfdgunhxca0azwfnnet9qp2,35.17767
juno180xqk2neysezr77yuz9qp6dfhshttnrpfx40ps,0.2
juno1830649ahmsntdtqm4633cpslt3qllrfp75x583,20.19
juno183xh7f4umya7prz7v90z7lzq6g48wgeux49atk,26.383252
juno183xw8l4vs7jxx872hucdp56dfgansunz347nrc,409.32042
juno1849aeae0zp80s9e27cvpanxvqhj9j5tcw6n5fd,35
juno185pkxz294drwarvkfdlt00dgalsxdpmw866f87,0.407956
juno186mmwn5qnf2xpmshffz6rrs8pa7gzp3qlr4dwn,12.706852
juno187gjqyrdp4spqf7dp2w50lqwn4c2n24s43waff,10
juno1880z6724rrl8dnlmt82v59uw7ek0dvayhc3e4g,39.478149
juno189ym2ws9u8y6fk77dxe635kw9uyz8fr2zx64wa,0.006
juno18a6aqwqmm2ltfjkh4w8ya0z5yx5grra34fws2n,100
juno18as0t5t0nav8nz47rppddfm35u4ee2ddee6qwn,35.17767
juno18ckjkml8aed9glnmt4lgstv45x084s98p3ytdd,35
juno18ej5psmpj02wp4x962uu4gut2a902ug8c7tvzj,35
juno18ggnq5m5nnp5ayey8jtf5uacleuqef3nnfuujg,10.008346
juno18h48q2kzvk3jsngsqpncrgwkn0f0dype5qdgpz,35.17767
juno18kxlcsn0jmwmnjkfp3rrevzt3k7raaefwf20ga,35
juno18p9k29vyc20qrlksgn7fjqjjfxytnv6gfv6nrc,1.0444
juno18p9r4d4tj6gdqxyvr7rszp8kcz43zp4t476un8,354.569387
juno18pjf2rcwgygzt26d0g76z3fk3znh693pc7dsqy,22.017372
juno18qw9ydpewh405w4lvmuhlg9gtaep79vy2gmtr2,593.664876
juno18r8d704exqe88cv7dl8vencxz2vykxag2veqml,10
juno18sfflzjtercqwv3w4dtg9w6dlgvx0ps9qyxgev,30
juno18tgy7tmpng6qspxgwl4alvc0myq6ln7uekxh78,33
juno18tmkvruqsz3xjwzsh94yjr2jrnl8v7scm3vvgq,35
juno18ut040zez44fxejxmfs02ed6vtdmwhpe05y0dc,33
juno18v5sjcp8vz2zd7xpul8x98vyvwg5yc0lzca6tp,38.635494
juno18w3r86plh703fvpktjawepskq4gy0pgcw4pvqg,10
juno18wm3f6s7yw0f0la09rnczvu9xp8wkkxfyfgfck,39.873185
juno18wqp8ztgrlnqus856zufsvsh8fnuwv7aqvkzj3,0.100041
juno18wruwcmmzwlw52yskwvdw9kx06umevxrk5gdwj,20
juno18wycp23y69ky0rla4p75muzhejn0cd76nf8w9t,26.383252
juno18xkjmqrd9xnzw6myqmfhgj6a693es5uwvffs7s,30.820107
juno18xytphss2w57dv3pf5glkgy0g0595y7xpssk0u,22.749935
juno18y26gt56994yanj9092v4l4exf57zfvjh8uaxe,35.17767
juno18y2vj9fcm2t43km2v5xys0judjs9ulvtcwg4za,20
juno18yk2htwst6qxpghf4gyyk7n6m3837jd3388t0q,39.833639
juno19002ghhvt5ywlmrd5gsjm7zdtedjvsesh0948e,0.12817
juno190jqtkddz70n909fjmp7d30vhsnup5sr3mzk8f,17.588835
juno190t90m7zplw5rrq8v4g9fs0tfpr7mqk80wxp26,35.17767
juno190u9qqcqrpz6hw632ljrpdv5v6q97p9wlu5rr8,366.711844
juno192xreegzvn8vdzdvrs2y6dsde767dnxxzwseah,13.082423
juno192yc3zp7gl987py3cvlsvh28x5dc5pmh4ar9jz,44.719171
juno194vq0mqj442df6p3p5zrc9lzxt6g379p2xkvkd,397.99166
juno195juhpvpkgzpqcpqwvqx74zg58tcvjyfmxv70q,175
juno197ptejdhtc3f2q2ww6slpehdvh8dhtjxzsudu2,11
juno198uj3ffetplr9szd774wznk2ssjnjkghl87xcp,17.588835
juno199ndqufcfn4h3vh4gl6da0l6u8ct9scljen3x0,23.65499
juno19atggawer8mzqm282dgjat052j7nq76rgaam87,1895
juno19dyz6z8sagukd9kkpkj7g0ctt78kychsaldg7h,35.17767
juno19fhl0t4m2ek4hjn3pteqyu0zkrsve6agrn7h9g,1.229757
juno19fpgqdmq7n7ztguer60r98xl3y3tqukj3f4yt3,30
juno19fspadpy48fujhdt6xhdtc5ewn8q66qqprq6x4,35.17767
juno19fuwpag5az92hx56jec20py24uc0wh06mtqfy0,39.873185
juno19gqzgxe99gq6du2va5p0ahszklrumpkf2vjgpy,0.147634
juno19jtn9xx65x5q5z5d5k2egkk2h25a9pqfcznpr3,60.373798
juno19jymccs94r957s4arsdysmdcmt8q66p72lryyf,1.702168
